Amount,Transaction Type,Category
2.92,debit,Coffee Shops
43.47,debit,Mobile Phone
2.92,debit,Coffee Shops
64.99,debit,Credit Card Payment
5.79,debit,Groceries
10.92,debit,Coffee Shops
30,debit,Pharmacy
64.99,credit,Credit Card Payment
6.33,debit,Coffee Shops
6,debit,Movies & DVDs
23.98,debit,Restaurants
55.88,debit,Groceries
127.53,debit,Restaurants
5.88,debit,Coffee Shops
233.19,debit,Alcohol & Bars
19.29,debit,Gas & Fuel
15.37,debit,Restaurants
3.06,debit,Coffee Shops
9.92,debit,Coffee Shops
3.06,debit,Coffee Shops
30.32,debit,Utilities
850,debit,Rent
407,debit,Air Travel
5.88,debit,Coffee Shops
12.83,debit,Restaurants
1.25,debit,Parking
20,debit,Doctor
14.07,debit,Fast Food
41.35,credit,Dividend & Cap Gains
9.63,debit,Investments
16,debit,Investments
16,credit,Dividend & Cap Gains
9.63,credit,Dividend & Cap Gains
41.35,debit,Investments
7.14,debit,Coffee Shops
5.84,debit,Coffee Shops
1568.27,credit,Paycheck
0.05,credit,Dividend & Cap Gains
0.05,debit,Investments
19.67,debit,Groceries
12.02,debit,Coffee Shops
1.25,debit,Coffee Shops
14.08,debit,Restaurants
5.4,debit,Coffee Shops
7,debit,Fast Food
10.97,debit,Restaurants
3.41,debit,Coffee Shops
17.13,debit,Alcohol & Bars
41.36,debit,Shopping
35.07,debit,Utilities
1.55,debit,Parking
22.98,debit,Sporting Goods
18.8,debit,Shopping
6.39,debit,Restaurants
20,debit,Doctor
0.17,credit,Interest Income
50,debit,529
15.17,debit,Business Services
50,credit,Investments
3.41,debit,Coffee Shops
39.72,debit,Groceries
14.68,debit,Gas & Fuel
17.13,debit,Sporting Goods
9.47,debit,Fast Food
2.57,debit,Coffee Shops
6.95,credit,Bank Fee
6.95,debit,Bank Fee
5.51,debit,Fast Food
44.45,debit,Restaurants
3,debit,ATM Fee
100,debit,Cash & ATM
2.5,debit,ATM Fee
2.68,debit,Restaurants
3.19,debit,Restaurants
64.99,debit,Internet
21.09,debit,Investments
126.8,debit,Restaurants
21.09,credit,Investments
9.43,debit,Coffee Shops
54.03,debit,Groceries
14.33,debit,Coffee Shops
29.99,debit,Rental Car & Taxi
1568.26,credit,Paycheck
2029.39,debit,Credit Card Payment
10.92,debit,Coffee Shops
30,debit,Restaurants
20,debit,Web hosting
11.02,debit,Coffee Shops
