Amount,Transaction Type,Category
7.36,debit,Coffee Shops
11.1,debit,Restaurants
10.47,debit,Home Improvement
31.32,debit,Home Improvement
6.95,credit,Bank Fee
6.95,debit,Bank Fee
10.32,debit,Restaurants
1419.86,debit,Hide from Budgets & Trends
2.17,debit,Coffee Shops
20.77,debit,Restaurants
43.66,debit,Furnishings
30.37,debit,Groceries
2.44,debit,Coffee Shops
70.66,debit,Restaurants
11.2,debit,Fast Food
39.99,debit,Internet
2.12,debit,Coffee Shops
27.01,debit,Gas & Fuel
1.87,debit,Gym
6.52,debit,Groceries
400,debit,Gifts & Donations
2.64,debit,Coffee Shops
7.15,debit,Coffee Shops
47.05,debit,Groceries
1488.99,credit,Paycheck
15.19,credit,Groceries
2.41,debit,Coffee Shops
18.3,debit,Groceries
97.12,credit,Income
119.21,debit,Auto Insurance
8.65,debit,Groceries
15,debit,Restaurants
8.6,debit,Groceries
6.41,debit,Misc Expenses
9.35,debit,Fast Food
8.88,debit,Restaurants
2.12,debit,Coffee Shops
21.03,debit,Restaurants
11.44,debit,Restaurants
19.86,debit,Misc Expenses
32.85,debit,Groceries
2.41,debit,Coffee Shops
11,debit,Life Insurance
12.11,debit,Restaurants
100,debit,Cash & ATM
1665.29,debit,Credit Card Payment
1665.29,credit,Credit Card Payment
26.83,debit,Gas & Fuel
22.03,debit,Restaurants
16.48,debit,Movies & DVDs
425,debit,Rent
16.61,debit,Groceries
19.74,debit,Hair
154.5,debit,Gym
11.82,debit,Food & Dining
4.69,debit,Furnishings
4.24,debit,Coffee Shops
8.44,debit,Groceries
47.66,debit,Groceries
10,debit,Doctor
29.46,debit,Fast Food
2.12,debit,Coffee Shops
5,debit,Coffee Shops
1488.99,credit,Paycheck
4.24,debit,Coffee Shops
16,debit,Alcohol & Bars
32.83,debit,Utilities
5.38,debit,Coffee Shops
79.58,debit,Restaurants
12,debit,Fast Food
61.4,debit,Utilities
40.62,debit,Groceries
8,debit,Personal Care
0.28,credit,Interest Income
14.43,debit,Groceries
21.42,debit,Furnishings
2.12,debit,Coffee Shops
3.33,debit,Home Improvement
3.78,debit,Restaurants
31.64,debit,Shopping
74.28,debit,Groceries
4.77,debit,Groceries
2.17,debit,Coffee Shops
11.81,debit,Food & Dining
6.95,debit,Bank Fee
6.95,credit,Bank Fee
10,debit,Auto & Transport
5.12,debit,Coffee Shops
164.91,debit,Gym
27.43,debit,Groceries
11.1,debit,Restaurants
2.12,debit,Coffee Shops
21.57,debit,Restaurants
1488.99,credit,Paycheck
1.86,debit,Financial Advisor
39.99,debit,Internet
13.11,debit,Restaurants
2.95,debit,ATM Fee
60,debit,Cash & ATM
2.5,debit,ATM Fee
36.88,debit,Check
15,debit,Furnishings
29.34,debit,Groceries
34.02,debit,Groceries
9.19,debit,Coffee Shops
57,debit,Transfer for Cash Spending
7,debit,Food & Dining
2.12,debit,Coffee Shops
30,debit,Personal Care
119.21,debit,Auto Insurance
8.88,debit,Restaurants
2.12,debit,Coffee Shops
50,debit,Hotel
39.77,debit,Groceries
2.12,debit,Coffee Shops
1811.82,debit,Hide from Budgets & Trends
11,debit,Life Insurance
123,debit,Hotel
13.47,debit,Entertainment
2.37,debit,Groceries
12.29,debit,Food & Dining
34.91,debit,Groceries
122.21,debit,Home Improvement
40.19,debit,Service & Parts
4.78,debit,Coffee Shops
82.33,debit,Furnishings
19,debit,Restaurants
40.56,debit,Restaurants
1811.82,credit,Credit Card Payment
12.11,debit,Restaurants
7.15,debit,Coffee Shops
19.99,debit,Amusement
9.48,debit,Restaurants
10,debit,Doctor
36.89,debit,Groceries
20,debit,Pharmacy
84.88,debit,Gym
425,debit,Rent
42.67,debit,Groceries
28.03,debit,Groceries
5.71,debit,Coffee Shops
3.18,debit,Furnishings
4.31,debit,Home Improvement
16.84,debit,Groceries
2.54,debit,Coffee Shops
7,debit,Restaurants
44.39,debit,Groceries
1488.98,credit,Paycheck
14.17,debit,Restaurants
11.1,debit,Restaurants
99.99,debit,Shopping
29.49,debit,Utilities
28.33,debit,Restaurants
0.33,credit,Interest Income
21.59,debit,Utilities
12.69,debit,Shopping
7.32,debit,Groceries
43.83,debit,Furnishings
54.62,debit,Groceries
38.3,debit,Clothing
24.28,debit,Entertainment
12.09,debit,Groceries
24.58,debit,Groceries
2.41,debit,Coffee Shops
34.3,debit,Groceries
11.09,debit,Fast Food
6.95,debit,Bank Fee
6.95,credit,Bank Fee
7.06,debit,Fast Food
7.19,debit,Fast Food
5,debit,Movies & DVDs
13.11,debit,Restaurants
27.98,debit,Gym
741.38,credit,Income
33.41,debit,Groceries
17.89,debit,Restaurants
39.99,debit,Internet
8.64,debit,Restaurants
18.62,debit,Furnishings
9,debit,Movies & DVDs
6.84,debit,Restaurants
6.24,debit,Restaurants
12.62,debit,Groceries
11.39,debit,Restaurants
1553.77,credit,Paycheck
14.71,debit,Restaurants
119.21,debit,Auto Insurance
8.14,debit,Pharmacy
66.24,debit,Groceries
27.98,debit,Food & Dining
26.61,debit,Gas & Fuel
21.7,debit,Lawn & Garden
5.55,debit,Groceries
26.14,debit,Restaurants
1128.73,debit,Hide from Budgets & Trends
11,debit,Life Insurance
18.78,debit,Pharmacy
10.53,debit,Groceries
1128.73,credit,Credit Card Payment
850,debit,Rent
21.56,debit,Groceries
28.3,debit,Groceries
9.77,debit,Groceries
302,debit,Hotel
9.68,debit,Restaurants
14.25,debit,Groceries
8.23,debit,Restaurants
83.01,debit,Gym
17.95,debit,Restaurants
6.43,debit,Coffee Shops
279.35,debit,Clothing
1488.99,credit,Paycheck
6.99,debit,Shopping
10.96,debit,Groceries
2.41,debit,Coffee Shops
38.75,debit,Utilities
66.32,debit,Restaurants
7.64,debit,Shopping
279.35,debit,Clothing
3.84,debit,Groceries
16.09,debit,Gas & Fuel
21.91,debit,Furnishings
279.35,credit,Clothing
21.41,debit,Groceries
17.06,debit,Shopping
14.38,debit,Entertainment
5.26,debit,Groceries
47.78,debit,Groceries
7.15,debit,Coffee Shops
28.15,debit,Home Services
18.93,debit,Utilities
200.7,debit,Mobile Phone
0.3,credit,Interest Income
20.33,debit,Groceries
6.95,debit,Bank Fee
6.95,credit,Bank Fee
22.28,debit,Restaurants
20.43,debit,Gas & Fuel
18.58,debit,Personal Care
17.44,debit,Groceries
22.79,debit,Lawn & Garden
4.41,debit,Coffee Shops
65,debit,Personal Care
8.4,debit,Groceries
1.87,debit,Gym
